player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Nicolas Batum,8723.07142857143,26.5,203.38142857142856,93.63434857142856,65.35714285714286,10.671428571428573,5.035714285714286,3.3714285714285714,2.1785714285714284,0.03757142857142854,0.14535714285714288,0.16135714285714284,0.5626428571428571,0.15885714285714284,6.1
Nikola Jokic,10455.714285714286,24.0,210.45714285714286,120.00748342857143,75.28571428571429,19.814285714285713,10.37142857142857,6.271428571428571,5.557142857142857,0.09314285714285715,0.25857142857142856,0.2584285714285714,0.6181428571428571,0.31485714285714284,24.5
Nikola Vucevic,9448.636363636364,26.0,212.43636363636367,115.87213818181817,67.36363636363636,16.61818181818182,10.245454545454546,2.6999999999999997,-2.481818181818182,0.08754545454545454,0.2671818181818182,0.24481818181818182,0.5324545454545454,0.1459090909090909,17.6
Noah Vonleh,9898.42857142857,22.0,206.82857142857142,112.36121828571429,48.42857142857143,4.042857142857143,4.257142857142857,0.6571428571428571,-13.685714285714287,0.07385714285714286,0.21899999999999994,0.153,0.4518571428571429,0.07528571428571428,1.1
Norman Powell,10456.57142857143,26.0,191.95142857142855,97.52228,60.142857142857146,11.671428571428573,2.642857142857143,1.5285714285714285,0.742857142857143,0.01742857142857143,0.10428571428571429,0.20285714285714285,0.5751428571428571,0.10385714285714286,17.0
Obi Toppin,11805.5,23.5,205.74,99.79024,67.0,6.55,2.95,0.8,4.800000000000001,0.046499999999999944,0.155,0.181,0.594,0.08499999999999999,7.4
Olivier Sarr,12028.0,23.0,213.36,108.86208,22.0,7.0,4.2,0.9,-2.0,0.078,0.133,0.136,0.672,0.066,4.0
Omer Yurtseven,12027.0,24.0,210.82,124.7378,56.0,5.3,5.3,0.9,5.3,0.12,0.293,0.19,0.546,0.105,4.4
Onyeka Okongwu,11795.0,20.5,203.2,107.72810000000001,49.0,6.3999999999999995,4.6,0.75,-0.3999999999999999,0.10849999999999996,0.16749999999999998,0.13899999999999996,0.6845000000000001,0.0625,9.9
Oshae Brissett,11564.0,23.0,200.66,95.25432,35.666666666666664,7.3,4.066666666666666,0.8000000000000002,3.8666666666666667,0.06066666666666667,0.141,0.15333333333333332,0.5419999999999999,0.06,6.1
Otto Porter Jr.,9902.222222222223,25.0,203.2,89.811216,56.0,10.166666666666666,4.733333333333333,1.5222222222222221,1.2444444444444445,0.04955555555555555,0.15466666666666665,0.16777777777777778,0.5526666666666666,0.08888888888888888,5.5
P.J. Tucker,10983.6,35.0,196.596,111.13003999999998,71.8,6.32,5.4799999999999995,1.4,3.9200000000000004,0.04219999999999996,0.13699999999999996,0.09439999999999997,0.5492,0.0638,3.5
P.J. Washington,11548.0,22.0,200.66,104.32616,62.333333333333336,11.799999999999999,5.7,2.3000000000000003,-0.7333333333333333,0.04033333333333333,0.15,0.17633333333333334,0.5613333333333334,0.11566666666666664,15.7
PJ Dozier,10707.5,22.5,198.12,92.98636,21.75,4.425,2.2,1.2,-1.7499999999999991,0.03925,0.15325,0.24174999999999996,0.4825,0.11424999999999998,1.4
Pascal Siakam,10665.833333333334,25.5,205.3166666666667,104.32616,66.66666666666667,15.916666666666666,6.3,3.1166666666666667,6.016666666666667,0.050333333333333334,0.165,0.21433333333333335,0.5609999999999999,0.14699999999999996,24.2
Pat Connaughton,10419.57142857143,26.0,195.21714285714285,94.73592914285715,59.57142857142857,5.428571428571429,3.085714285714286,1.1714285714285713,1.0142857142857142,0.04185714285714286,0.1337142857142857,0.13514285714285715,0.5531428571428572,0.10157142857142856,7.6
